Metric,Base Case,Optimistic,Conservative,Notes
MRR (SaaS),15000,45000,10000,Current + usage tiers
API Revenue,0,15000,5000,New revenue stream
Marketplace Revenue,0,8000,2000,Agent marketplace
Partnership Revenue,0,5000,1000,Referral commissions
Total MRR,15000,73000,18000,Sum of all streams
CAC (Customer Acquisition Cost),150,120,200,Optimize marketing
LTV (Lifetime Value),1800,3600,1200,Increase retention
LTV:CAC Ratio,12,30,6,Target >3
Churn Rate (Monthly),0.05,0.02,0.08,Reduce churn
Gross Margin,0.75,0.85,0.65,Optimize costs
Operating Expenses,12000,15000,10000,Infrastructure + team
Net Margin,0.20,0.50,0.10,Target >20%
Runway (Months),18,36,12,At current burn
Break-Even (Months),8,4,12,Path to profitability
